epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.831,1.12636,2.27971,1.16259,0.37052,0.27604,0.22746,0.14004,1.32672,8.00988,1.53704,0.00245902,0.00245902,0.0532787
2,208.747,1.21402,1.88262,1.25144,0.366,0.39357,0.16905,0.09031,1.34765,14.9836,1.62953,0.00483887,0.00483887,0.00565855
3,309.233,1.1672,1.71333,1.25735,0.22951,0.40122,0.22218,0.14196,1.30131,7.86139,1.58944,0.00452732,0.00452732,0.00452732
4,408.042,1.1621,1.68873,1.24478,0.47139,0.34532,0.28696,0.20565,1.0416,2.27556,1.2065,0.00397977,0.00397977,0.00397977
5,507.549,1.06592,1.49623,1.16159,0.49712,0.44741,0.48126,0.37251,0.88127,1.59113,1.10227,0.00328982,0.00328982,0.00328982
6,608.014,0.97156,1.31836,1.13047,0.7229,0.81294,0.83325,0.68345,0.78169,1.1118,1.00462,0.002525,0.002525,0.002525
7,713.212,0.91103,1.20562,1.09326,0.72477,0.87573,0.87297,0.71115,0.71622,0.93733,0.99206,0.00176018,0.00176018,0.00176018
8,813.922,0.89405,1.15063,1.08591,0.69989,0.85014,0.85365,0.72839,0.67826,0.93576,0.96454,0.00107023,0.00107023,0.00107023
9,914.03,0.76271,1.04948,1.00659,0.83852,0.84478,0.92637,0.77773,0.66657,0.85273,0.95114,0.000522683,0.000522683,0.000522683
10,1003.61,0.72833,0.95743,0.98376,0.8758,0.83143,0.91862,0.78354,0.61548,0.79335,0.94893,0.000171135,0.000171135,0.000171135
