epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.059,0.8452,3.06033,1.02071,0.80535,0.20086,0.35484,0.28782,0.68303,3.20526,0.84531,0.0003,0.0003,0.0003
2,360.367,0.89865,2.02302,1.0103,0.96343,0.17032,0.59329,0.47461,0.70589,2.92781,0.8692,0.00056974,0.00056974,0.00056974
3,567.499,0.88931,1.75536,1.01635,0.77253,0.50967,0.7365,0.62176,0.72058,2.20868,0.91182,0.00079856,0.00079856,0.00079856
4,790.081,0.83112,1.51969,0.99517,0.69906,0.65434,0.76248,0.61707,0.78325,1.92379,0.95779,0.000802,0.000802,0.000802
5,1048.68,0.81782,1.4671,0.99411,0.74905,0.86136,0.80869,0.67327,0.66918,1.50903,0.92547,0.000736,0.000736,0.000736
6,1554.33,0.70142,1.42492,0.92932,0.85996,0.70678,0.82809,0.70086,0.65061,1.33157,0.93797,0.00067,0.00067,0.00067
7,2125.93,0.71986,1.3627,0.93943,0.81926,0.83356,0.91723,0.75275,0.64378,1.18259,0.94372,0.000604,0.000604,0.000604
8,2588.64,0.68792,1.20486,0.92981,0.93071,0.82406,0.92827,0.79692,0.61132,1.05849,0.95607,0.000538,0.000538,0.000538
9,2911.57,0.6377,1.10339,0.91891,0.95952,0.84252,0.93707,0.80531,0.56214,0.92774,0.91698,0.000472,0.000472,0.000472
10,3271.78,0.62576,0.98878,0.90702,0.83011,0.8824,0.90919,0.79582,0.57005,1.01401,0.91207,0.000406,0.000406,0.000406
11,3507.45,0.61789,0.93245,0.91067,0.94153,0.84421,0.92277,0.80316,0.55827,0.93162,0.91235,0.00034,0.00034,0.00034
12,3720.14,0.59492,0.88448,0.90075,0.95191,0.8249,0.93551,0.83176,0.54225,0.8877,0.90406,0.000274,0.000274,0.000274
13,3917.78,0.59077,0.86558,0.89737,0.92532,0.88141,0.95233,0.86511,0.49016,0.81135,0.88006,0.000208,0.000208,0.000208
14,4148.65,0.55068,0.8296,0.87993,0.9081,0.90229,0.93605,0.83521,0.47759,0.82078,0.8819,0.000142,0.000142,0.000142
15,4363.74,0.52926,0.80061,0.87713,0.90051,0.89632,0.92997,0.83311,0.46882,0.80248,0.87881,7.6e-05,7.6e-05,7.6e-05
